"","V1","match_id","year","slam","match_num","player1","player2","status","winner","event_name","round","court_name","court_id","player1id","player2id","nation1","nation2","player1_rank","player2_rank","pServeP1","pReceiveP1","pServeP2","pReceiveP2"
"84",83,"2011-ausopen-1503",2011,"ausopen",1503,"Tomas Berdych","Novak Djokovic","Complete",2,"Men's Singles","Quarters","Rod Laver Arena","A","atpba47","atpd643","CZE","SRB",6,3,0.541666666666667,0.307692307692308,0.692307692307692,0.458333333333333
"85",84,"2011-ausopen-1504",2011,"ausopen",1504,"Stanislas Wawrinka","Roger Federer","Complete",2,"Men's Singles","Quarters","Rod Laver Arena","A","atpw367","atpf324","SUI","SUI",19,2,0.567901234567901,0.266666666666667,0.733333333333333,0.432098765432099
"86",85,"2011-ausopen-1601",2011,"ausopen",1601,"David Ferrer","Andy Murray","Complete",2,"Men's Singles","Semis","Rod Laver Arena","A","atpf401","atpmc10","ESP","GBR",7,5,0.563380281690141,0.403973509933775,0.596026490066225,0.436619718309859
"87",86,"2011-ausopen-1602",2011,"ausopen",1602,"Novak Djokovic","Roger Federer","Complete",1,"Men's Singles","Semis","Rod Laver Arena","A","atpd643","atpf324","SRB","SUI",3,2,0.632,0.380952380952381,0.619047619047619,0.368
"88",87,"2011-ausopen-1701",2011,"ausopen",1701,"Andy Murray","Novak Djokovic","Complete",2,"Men's Singles","Final","Rod Laver Arena","A","atpmc10","atpd643","GBR","SRB",5,3,0.486238532110092,0.333333333333333,0.666666666666667,0.513761467889908
"89",88,"2011-ausopen-2101",2011,"ausopen",2101,"Caroline Wozniacki","Gisela Dulko","Complete",1,"Women's Singles","Round 1","Rod Laver Arena","A","wta313402","wta040388","DEN","ARG",1,48,0.648648648648649,0.450704225352113,0.549295774647887,0.351351351351351
"90",89,"2011-ausopen-2105",2011,"ausopen",2105,"Yanina Wickmayer","Jarmila Groth","Complete",1,"Women's Singles","Round 1","Rod Laver Arena","A","wta312536","wta310169","BEL","AUS",NA,NA,0.623655913978495,0.384615384615385,0.615384615384615,0.376344086021505
"91",90,"2011-ausopen-2108",2011,"ausopen",2108,"Tathiana Garbin","Marion Bartoli","Complete",2,"Women's Singles","Round 1","Court 6","H","wta030348","wta020631","ITA","FRA",87,17,0.257142857142857,0.235294117647059,0.764705882352941,0.742857142857143
"92",91,"2011-ausopen-2109",2011,"ausopen",2109,"Justine Henin","Sania Mirza","Complete",1,"Women's Singles","Round 1","Hisense Arena","B","wta080350","wta310112","BEL","IND",13,145,0.595505617977528,0.523255813953488,0.476744186046512,0.404494382022472
"93",92,"2011-ausopen-2111",2011,"ausopen",2111,"Bethanie Mattek-Sands","Arantxa Rus","Complete",2,"Women's Singles","Round 1","Court 8","J","wta130713","wta313349","USA","NED",NA,NA,0.528089887640449,0.429906542056075,0.570093457943925,0.471910112359551
"94",93,"2011-ausopen-2112",2011,"ausopen",2112,"Alison Riske","Svetlana Kuznetsova","Complete",2,"Women's Singles","Round 1","Show Court 3","E","wta312850","wta110552","USA","RUS",114,25,0.416666666666667,0.403846153846154,0.596153846153846,0.583333333333333
"95",94,"2011-ausopen-2115",2011,"ausopen",2115,"Rebecca Marino","Junri Namigata","Complete",1,"Women's Singles","Round 1","Court 6","H","wta313485","wta140195","CAN","JPN",106,112,0.595238095238095,0.488095238095238,0.511904761904762,0.404761904761905
"96",95,"2011-ausopen-2116",2011,"ausopen",2116,"Arantxa Parra Santonja","Francesca Schiavone","Complete",2,"Women's Singles","Round 1","Margaret Court Arena","C","wta160451","wta190666","ESP","ITA",67,7,0.595959595959596,0.349514563106796,0.650485436893204,0.404040404040404
"97",96,"2011-ausopen-2117",2011,"ausopen",2117,"Venus Williams","Sara Errani","Complete",1,"Women's Singles","Round 1","Hisense Arena","B","wta230220","wta310761","USA","ITA",5,43,0.633333333333333,0.583333333333333,0.416666666666667,0.366666666666667
